brand;tgl;short_code;outlet_name;region_name;sub_area_name;sales_area_name;micro_cluster_name;cso_code;latitude;longitude;mobo_balance
3ID;2026-08-23;00528773;konter nusantara;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4417521;112.6836773;3876873
3ID;2026-08-23;00417601;Abadi jaya cel;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.486748;112.7257318;31850
3ID;2026-08-23;00083486;DNS CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4519913;112.7310408;264469
3ID;2026-08-23;00299846;RR CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4793504;112.707043;754882
3ID;2026-08-23;00530187;arjuna pulsa;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.4943523;112.6821256;3669
3ID;2026-08-23;00012833;GAJAH PONSEL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4447517;112.7085133;267277
3ID;2026-08-23;00413552;GV Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4627698;112.7334803;33768
3ID;2026-08-23;00528071;D2 CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4508053;112.7303465;10321
3ID;2026-08-23;12310538;Master Pulsa Jabon;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5561004;112.7254288;240645
3ID;2026-08-23;00261136;Aksan Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.4886674;112.7268697;20827
3ID;2026-08-23;00009369;ka cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.4816609;112.7316457;65287
3ID;2026-08-23;00497898;CITRA CEL 1;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4791393;112.7233358;172776
3ID;2026-08-23;00233713;DIK Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.4943224;112.7201374;219520
3ID;2026-08-23;12329832;Nagha Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.544306;112.7209304;124225
3ID;2026-08-23;00509965;DINI CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4812383;112.709973;519276
3ID;2026-08-23;00242489;JAYA PULSA;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4640818;112.7230484;76394
3ID;2026-08-23;00299857;SUPER CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4438597;112.7306544;9685
3ID;2026-08-23;00233675;Kamal cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.509963;112.70974;879941
3ID;2026-08-23;00083358;mikal cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.5042408;112.7040678;605103
3ID;2026-08-23;00470221;Pinggir kali cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.4970012;112.6984023;177476
3ID;2026-08-23;00233999;Aconx cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5454017;112.6856583;10651
3ID;2026-08-23;00271154;Rahayu cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.5074468;112.729212;58118
3ID;2026-08-23;00106821;ALMEERA CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5417743;112.6996172;1504926
3ID;2026-08-23;00083328;99 cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4804006;112.7082381;89456
3ID;2026-08-23;00332877;Rayhan cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4615535;112.6906409;328038
3ID;2026-08-23;00084055;BD cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4458009;112.7128912;519096
3ID;2026-08-23;00299552;Wa one cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5499811;112.7388109;482101
3ID;2026-08-23;00009577;ZM JAYA CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5295468;112.7349514;633
3ID;2026-08-23;00106824;m2m cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.5028416;112.7093546;311633
3ID;2026-08-23;00083326;O2D Service;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.4826888;112.7570392;39580
3ID;2026-08-23;00573586;Nailul Cell Jabon;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5708878;112.7447887;98346
3ID;2026-08-23;00106640;nine cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5397333;112.688365;7354
3ID;2026-08-23;00106234;CV Bintang Utama Sejahtera;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4564838;112.7037044;22105
3ID;2026-08-23;00521886;BENING CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4689784;112.7210716;7834
3ID;2026-08-23;12316745;Darius Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.450162;112.7370814;150918
3ID;2026-08-23;00248189;Nuril Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.4951035;112.6789212;3141
3ID;2026-08-23;00233656;Bagong Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4494163;112.6815115;55408
3ID;2026-08-23;00259856;joss cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4642489;112.7238481;229981
3ID;2026-08-23;00106652;RH CELL 1;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4642402;112.7234635;1012042
3ID;2026-08-23;00428727;Indah Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.443804;112.721045;2168846
3ID;2026-08-23;00415978;DK Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5448567;112.682435;9293
3ID;2026-08-23;00299416;THE LEGEND RELOAD;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5451333;112.6904083;26775
3ID;2026-08-23;00415369;Faishol Cell 1;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.550423;112.740559;5762
3ID;2026-08-23;00158796;next cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5401594;112.6927803;9795
3ID;2026-08-23;00047313;pos pulsa 2;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5342033;112.6969333;135724
3ID;2026-08-23;00497256;ANUGRAH COMMUNICATION;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5712778;112.7440045;508733
3ID;2026-08-23;00103355;ABI PULSA;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4496375;112.7287385;119154
3ID;2026-08-23;00299555;JMR CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5508793;112.7411264;1995380
3ID;2026-08-23;00106823;Abid Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.504155;112.7048633;2249
3ID;2026-08-23;00575812;supernova cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4609655;112.6695076;258601
3ID;2026-08-23;00412758;Masterklik spande cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;2613052134;-7.459865;112.6982283;742043
3ID;2026-08-23;12327838;KIOS HANA;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.4896861;112.7186121;58085
3ID;2026-08-23;00413459;RYU Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4617554;112.7274295;11561
3ID;2026-08-23;00528063;KHANZA CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4517417;112.6930786;450731
3ID;2026-08-23;12329843;Perdana Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5647076;112.7686332;3000
3ID;2026-08-23;00412727;masterklik gelam;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4649863;112.7130676;557366
3ID;2026-08-23;00009069;ROFAKO CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5360568;112.692863;9940
3ID;2026-08-23;00499087;VE CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5484774;112.7239954;22134
3ID;2026-08-23;00499019;BKL CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5317318;112.7315282;29923
3ID;2026-08-23;00027823;Aha cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.4973126;112.6971384;74935
3ID;2026-08-23;00184084;NETWORK 88 CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.5175251;112.6904904;2791
3ID;2026-08-23;00242313;Megnet Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4364864;112.6870996;9328
3ID;2026-08-23;00170979;cv mietha global;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4560382;112.7038912;558053
3ID;2026-08-23;00529542;alan cell 2;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4523346;112.6809021;10663
3ID;2026-08-23;00260868;agbi cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.45273;112.70711;290962
3ID;2026-08-23;00047039;Cp Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.5449098;112.6745961;182311
3ID;2026-08-23;00048612;eka cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4522309;112.7089881;20034
3ID;2026-08-23;00264259;Kedai DATA Jabon;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5665455;112.7306968;10796
3ID;2026-08-23;00047587;roxy cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.5328645;112.6784467;98199
3ID;2026-08-23;00439041;alan cell 3;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4562045;112.6730963;568251
3ID;2026-08-23;00419890;masterklik bligo cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4524872;112.7063424;248162
3ID;2026-08-23;00233698;wahyu cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4553781;112.703768;337414
3ID;2026-08-23;00014978;jago cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.456302;112.7038397;373644
3ID;2026-08-23;00233898;vinda cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4474244;112.7293511;64334
3ID;2026-08-23;00117828;HF CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-176616910960;-7.5168434;112.685345;3306
3ID;2026-08-23;00519614;TEKMA JAYA 3;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5391525;112.6805904;10316
3ID;2026-08-23;00499696;Alan cel 4;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.4822692;112.7368376;230000
3ID;2026-08-23;00336791;Heru Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5313045;112.7298122;170260
3ID;2026-08-23;00522282;F CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4714728;112.7212907;119208
3ID;2026-08-23;12333631;Najwa cel;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135949795025;-7.4784474;112.7162161;19050
3ID;2026-08-23;SH006608;AF CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.44337888248985;112.70671349018812;7810
3ID;2026-08-23;SH006686;Warna Atk;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5562843;112.7255011;12000
3ID;2026-08-23;SH006680;Prima cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.5041483;112.7129217;157920
3ID;2026-08-23;SH006999;Opaw Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.543737590858927;112.75385029613972;0
3ID;2026-08-23;SH007322;SUPERNOVA CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.475079585884787;112.7066008374095;346828
3ID;2026-08-23;SH006696;AL Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-181331836826;-7.5648352;112.7231757;136500
3ID;2026-08-23;SH010387;JAVIER CELL;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221909;-7.4570414032628065;112.71696589887142;7810
3ID;2026-08-23;SH023399;Berkah Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-28825221919;-7.51;112.7318117;132000
3ID;2026-08-23;SH020619;Alwan 2 Cell;EAST JAVA;EASTERN EAST JAVA;SIDOARJO;MC-SIDOARJO SELATAN;1-135938992851;-7.4493257234611026;112.6813330873847;5500
3ID;2026-08-23;00506742;anggie cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.5151075;110.9039607;15480
3ID;2026-08-23;00506749;hass cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.4393398;110.9602847;169384
3ID;2026-08-23;00496761;al fazza;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.4315707;110.8909308;215520
3ID;2026-08-23;00509135;valid cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.5149554;110.9040527;24369466
3ID;2026-08-23;00507611;nisa cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.5067566;110.8918427;1500
3ID;2026-08-23;00506745;green cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.504037;110.9089465;84017
3ID;2026-08-23;12309063;cahya cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.4325153;110.8419782;6561
3ID;2026-08-23;00340201;Draiva Cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.4097686;110.9267885;1500
3ID;2026-08-23;00508905;tansya cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.5130766;110.8555422;62049
3ID;2026-08-23;00469287;JK cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.4812507;110.8625005;82030
3ID;2026-08-23;00511190;angggun cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.5150057;110.9040443;48315
3ID;2026-08-23;00340124;Vito Cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.4097352;110.9267635;122577
3ID;2026-08-23;00508933;SUHA CELL;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.5130552;110.8551657;5001
3ID;2026-08-23;00508948;suko cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.4190849;110.9492811;135566
3ID;2026-08-23;12308921;nanda cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.4982688;110.8734942;69308
3ID;2026-08-23;00489092;fish cell;CENTRAL JAVA;NORTH CENTRAL JAVA;KUDUS;MC-JEPARA UTARA;1-160638503138;-6.5041513;110.9088681;106899
3ID;2026-08-23;00046789;SURYA CELL PAKIS;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219593;-8.2396962;114.34945;489007
3ID;2026-08-23;00408244;SMM;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2-0012362565;-8.313801048284121;114.19907277686035;97871
3ID;2026-08-23;00405973;FERDIN CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2-0012362565;-8.2763878;114.2470484;9000
3ID;2026-08-23;12297016;DEWA CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-194892646707;-8.3487314;114.2400081;15900
3ID;2026-08-23;00047373;Istana Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2613051225;-8.0030038;114.4042493;228105
3ID;2026-08-23;00287077;BKJ CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2-0012362565;-8.23274;114.169941;536866
3ID;2026-08-23;00568989;Didin Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-194892646707;-8.3384535;114.2667664;46940
3ID;2026-08-23;00393929;Garus CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219595;-8.2566912;114.3447053;8934
3ID;2026-08-23;00124684;LIDO CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219593;-8.2134461;114.3680996;272452
3ID;2026-08-23;00414842;Eriz Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2613051225;-8.1201849;114.3982618;7901
3ID;2026-08-23;00266368;Senja Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219589;-8.251425;114.3408633;12052
3ID;2026-08-23;00439866;Agiel cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2-0012362565;-8.2927891;114.244115;61811
3ID;2026-08-23;00114881;INDI CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219595;-8.3001279;114.3006351;8851
3ID;2026-08-23;00451195;SMM CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-194892646707;-8.3270294;114.3404029;9020
3ID;2026-08-23;00321048;JN CELL Banyuwangi;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219593;-8.204879;114.368957;219261
3ID;2026-08-23;00098575;DIANA CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2613051225;-7.9350547;114.3886446;197024
3ID;2026-08-23;00414349;Dinda cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2613051225;-8.1704087;114.3866432;135881
3ID;2026-08-23;00270368;999 Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219593;-8.2232379;114.3723004;19517
3ID;2026-08-23;00270321;AR sempu cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2-0012362565;-8.3026405;114.1369382;22588
3ID;2026-08-23;12328405;ORI Banyuwangi;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2-0012348391;-8.2339616;114.3642296;5000
3ID;2026-08-23;00495116;Mandiri Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219589;-8.2513503;114.3407414;54834
3ID;2026-08-23;00037085;NS CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219593;-8.232068;114.362017;66396
3ID;2026-08-23;00423730;Dwi Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-194892646707;-8.365683;114.227893;167667
3ID;2026-08-23;00433381;Dawa cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219589;-8.1511818;114.3960866;22009
3ID;2026-08-23;00083559;Cantika CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219595;-8.2650728;114.3277032;11885
3ID;2026-08-23;00494789;Andalan cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219589;-8.2178737;114.3442248;44629
3ID;2026-08-23;00494994;Osing Javanese Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219589;-8.1880102;114.2917349;18950
3ID;2026-08-23;00408303;YIS CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219595;-8.3047355;114.2952301;294904
3ID;2026-08-23;00451144;Nizar Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219595;-8.2874467;114.31584;118658
3ID;2026-08-23;00435482;Fabios;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2613051225;-8.1453261;114.4001177;1905
3ID;2026-08-23;00521737;Rizki Abadi Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-194892646707;-8.3286854;114.2372909;10566
3ID;2026-08-23;00260731;ADELE Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219589;-8.2183517;114.3113217;29555
3ID;2026-08-23;00248846;Kayla Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;2613051225;-8.156129;114.394464;111305
3ID;2026-08-23;00329170;R CELL 3;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219595;-8.3097418;114.293985;46093
3ID;2026-08-23;00149748;Rinto Cell;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-194892646707;-8.3280765;114.3335201;14315
3ID;2026-08-23;00321415;VIRGO CELL;EAST JAVA;EASTERN EAST JAVA;JEMBER;MC-BANYUWANGI;1-28825219595;-8.3044428;114.2894078;4081
